country,index,time,count,total_encounter_duration
GBR,18,1961-01-01 00:00:00+00:00,1,0 days 00:00:50
GBR,19,1962-01-01 00:00:00+00:00,1,0 days 00:05:00
GBR,20,1963-01-01 00:00:00+00:00,1,0 days 00:00:15
GBR,21,1964-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,22,1965-01-01 00:00:00+00:00,2,0 days 00:08:00
GBR,23,1966-01-01 00:00:00+00:00,3,0 days 00:17:01
GBR,24,1967-01-01 00:00:00+00:00,6,0 days 05:40:00
GBR,25,1968-01-01 00:00:00+00:00,1,0 days 00:20:00
GBR,26,1969-01-01 00:00:00+00:00,1,292 days 05:20:00
GBR,27,1970-01-01 00:00:00+00:00,5,0 days 06:47:30
GBR,28,1971-01-01 00:00:00+00:00,4,0 days 02:19:30
GBR,29,1972-01-01 00:00:00+00:00,6,3 days 00:36:25
GBR,30,1973-01-01 00:00:00+00:00,0,0 days 00:00:00
GBR,31,1974-01-01 00:00:00+00:00,8,0 days 00:43:32
GBR,32,1975-01-01 00:00:00+00:00,5,0 days 00:15:10
GBR,33,1976-01-01 00:00:00+00:00,9,0 days 02:28:03
GBR,34,1977-01-01 00:00:00+00:00,6,0 days 00:41:45
GBR,35,1978-01-01 00:00:00+00:00,11,0 days 02:58:46
GBR,36,1979-01-01 00:00:00+00:00,10,0 days 01:38:30
GBR,37,1980-01-01 00:00:00+00:00,12,0 days 10:41:39.500000
GBR,38,1981-01-01 00:00:00+00:00,2,0 days 00:03:00
GBR,39,1982-01-01 00:00:00+00:00,4,0 days 00:38:30
GBR,40,1983-01-01 00:00:00+00:00,5,1132 days 08:44:19
GBR,41,1984-01-01 00:00:00+00:00,7,0 days 00:53:22
GBR,42,1985-01-01 00:00:00+00:00,4,0 days 01:11:05
GBR,43,1986-01-01 00:00:00+00:00,7,0 days 03:20:35
GBR,44,1987-01-01 00:00:00+00:00,8,0 days 05:21:15
GBR,45,1988-01-01 00:00:00+00:00,7,0 days 00:51:06
GBR,46,1989-01-01 00:00:00+00:00,5,0 days 01:23:00
GBR,47,1990-01-01 00:00:00+00:00,6,0 days 00:30:08
GBR,48,1991-01-01 00:00:00+00:00,2,0 days 00:00:45
GBR,49,1992-01-01 00:00:00+00:00,8,0 days 01:04:25
GBR,50,1993-01-01 00:00:00+00:00,15,0 days 04:09:30
GBR,51,1994-01-01 00:00:00+00:00,12,0 days 02:13:05
GBR,52,1995-01-01 00:00:00+00:00,17,0 days 01:40:15
GBR,53,1996-01-01 00:00:00+00:00,28,0 days 03:54:45
GBR,54,1997-01-01 00:00:00+00:00,41,1 days 04:58:43
GBR,55,1998-01-01 00:00:00+00:00,44,0 days 05:19:31
GBR,56,1999-01-01 00:00:00+00:00,63,0 days 11:24:36
GBR,57,2000-01-01 00:00:00+00:00,101,0 days 15:57:49
GBR,58,2001-01-01 00:00:00+00:00,133,0 days 19:17:29
GBR,59,2002-01-01 00:00:00+00:00,147,1 days 01:56:01.300000
GBR,60,2003-01-01 00:00:00+00:00,152,1 days 01:07:45.500000
GBR,61,2004-01-01 00:00:00+00:00,138,2 days 06:02:53
GBR,62,2005-01-01 00:00:00+00:00,134,1 days 11:38:59
GBR,63,2006-01-01 00:00:00+00:00,194,2 days 02:28:10
GBR,64,2007-01-01 00:00:00+00:00,154,2 days 06:45:00
GBR,65,2008-01-01 00:00:00+00:00,182,3 days 07:44:23
GBR,66,2009-01-01 00:00:00+00:00,252,1 days 11:42:25.600000
GBR,67,2010-01-01 00:00:00+00:00,134,0 days 15:42:20
GBR,68,2011-01-01 00:00:00+00:00,58,3 days 08:52:32
GBR,69,2012-01-01 00:00:00+00:00,98,0 days 08:12:50
GBR,70,2013-01-01 00:00:00+00:00,60,6 days 14:15:30
GBR,71,2014-01-01 00:00:00+00:00,26,2 days 01:21:52
IND,0,1970-01-01 00:00:00+00:00,1,0 days 00:30:00
IND,1,1971-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,2,1972-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,3,1973-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,4,1974-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,5,1975-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,6,1976-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,7,1977-01-01 00:00:00+00:00,2,0 days 00:00:25
IND,8,1978-01-01 00:00:00+00:00,1,0 days 00:01:00
IND,9,1979-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,10,1980-01-01 00:00:00+00:00,1,0 days 00:20:00
IND,11,1981-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,12,1982-01-01 00:00:00+00:00,1,0 days 00:03:00
IND,13,1983-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,14,1984-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,15,1985-01-01 00:00:00+00:00,2,0 days 00:45:45
IND,16,1986-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,17,1987-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,18,1988-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,19,1989-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,20,1990-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,21,1991-01-01 00:00:00+00:00,1,0 days 00:10:00
IND,22,1992-01-01 00:00:00+00:00,1,0 days 00:10:00
IND,23,1993-01-01 00:00:00+00:00,2,0 days 00:12:00
IND,24,1994-01-01 00:00:00+00:00,4,0 days 00:05:10
IND,25,1995-01-01 00:00:00+00:00,1,0 days 00:00:05
IND,26,1996-01-01 00:00:00+00:00,0,0 days 00:00:00
IND,27,1997-01-01 00:00:00+00:00,1,0 days 00:01:00
IND,28,1998-01-01 00:00:00+00:00,2,0 days 00:00:55
IND,29,1999-01-01 00:00:00+00:00,2,0 days 00:05:10
IND,30,2000-01-01 00:00:00+00:00,6,0 days 00:41:00
IND,31,2001-01-01 00:00:00+00:00,14,30 days 14:35:15
IND,32,2002-01-01 00:00:00+00:00,6,4 days 00:07:29
IND,33,2003-01-01 00:00:00+00:00,14,0 days 02:04:28
IND,34,2004-01-01 00:00:00+00:00,17,0 days 05:38:02
IND,35,2005-01-01 00:00:00+00:00,9,0 days 05:17:42
IND,36,2006-01-01 00:00:00+00:00,15,0 days 03:25:31
IND,37,2007-01-01 00:00:00+00:00,23,0 days 12:59:53
IND,38,2008-01-01 00:00:00+00:00,16,0 days 05:28:43
IND,39,2009-01-01 00:00:00+00:00,12,0 days 02:47:48
IND,40,2010-01-01 00:00:00+00:00,5,0 days 00:40:32
IND,41,2011-01-01 00:00:00+00:00,5,0 days 01:42:42
IND,42,2012-01-01 00:00:00+00:00,26,0 days 06:03:25
IND,43,2013-01-01 00:00:00+00:00,23,0 days 07:09:12
IND,44,2014-01-01 00:00:00+00:00,13,0 days 00:39:43
